@relation groundtruth

@attribute 'swear NUMERIC' numeric
@attribute 'selfReference NUMERIC' numeric
@attribute 'affect NUMERIC' numeric
@attribute 'posemo NUMERIC' numeric
@attribute 'negemo NUMERIC' numeric
@attribute 'anx NUMERIC' numeric
@attribute 'anger NUMERIC' numeric
@attribute 'sad NUMERIC' numeric
@attribute 'friend NUMERIC' numeric
@attribute 'family NUMERIC' numeric
@attribute 'human NUMERIC' numeric
@attribute 'insight NUMERIC' numeric
@attribute 'past NUMERIC' numeric
@attribute 'present NUMERIC' numeric
@attribute 'future NUMERIC' numeric
@attribute 'motion NUMERIC' numeric
@attribute 'job NUMERIC' numeric
@attribute 'leisure NUMERIC' numeric
@attribute 'home NUMERIC' numeric
@attribute 'sports NUMERIC' numeric
@attribute 'music NUMERIC' numeric
@attribute 'money NUMERIC' numeric
@attribute 'relig NUMERIC' numeric
@attribute 'death NUMERIC' numeric
@attribute 'physcal NUMERIC' numeric
@attribute 'body NUMERIC' numeric
@attribute 'sexual NUMERIC' numeric
@attribute 'eating NUMERIC' numeric
@attribute 'sleep NUMERIC' numeric
@attribute 'groom NUMERIC' numeric
@attribute 'tentat NUMERIC' numeric
@attribute 'certain NUMERIC' numeric
@attribute 'social NUMERIC' numeric
@attribute 'cause NUMERIC' numeric
@attribute 'time NUMERIC' numeric
@attribute 'space NUMERIC' numeric
@attribute 'wc NUMERIC' numeric
@attribute 'about NUMERIC' numeric
@attribute 'above NUMERIC' numeric
@attribute 'after NUMERIC' numeric
@attribute 'again NUMERIC' numeric
@attribute 'against NUMERIC' numeric
@attribute 'all NUMERIC' numeric
@attribute 'almost NUMERIC' numeric
@attribute 'already NUMERIC' numeric
@attribute 'always NUMERIC' numeric
@attribute 'am NUMERIC' numeric
@attribute 'and NUMERIC' numeric
@attribute 'angry NUMERIC' numeric
@attribute 'another NUMERIC' numeric
@attribute 'any NUMERIC' numeric
@attribute 'ass NUMERIC' numeric
@attribute 'at NUMERIC' numeric
@attribute 'away NUMERIC' numeric
@attribute 'awesome NUMERIC' numeric
@attribute 'baby NUMERIC' numeric
@attribute 'back NUMERIC' numeric
@attribute 'bad NUMERIC' numeric
@attribute 'be NUMERIC' numeric
@attribute 'because NUMERIC' numeric
@attribute 'been NUMERIC' numeric
@attribute 'before NUMERIC' numeric
@attribute 'between NUMERIC' numeric
@attribute 'birthday NUMERIC' numeric
@attribute 'but NUMERIC' numeric
@attribute 'do NUMERIC' numeric
@attribute 'dont NUMERIC' numeric
@attribute 'down NUMERIC' numeric
@attribute 'family2 NUMERIC' numeric
@attribute 'feel2 NUMERIC' numeric
@attribute 'fight NUMERIC' numeric
@attribute 'final NUMERIC' numeric
@attribute 'find NUMERIC' numeric
@attribute 'first NUMERIC' numeric
@attribute 'friend2 NUMERIC' numeric
@attribute 'fun NUMERIC' numeric
@attribute 'get NUMERIC' numeric
@attribute 'girl NUMERIC' numeric
@attribute 'great NUMERIC' numeric
@attribute 'halloween NUMERIC' numeric
@attribute 'happy NUMERIC' numeric
@attribute 'hate NUMERIC' numeric
@attribute 'have NUMERIC' numeric
@attribute 'he NUMERIC' numeric
@attribute 'him NUMERIC' numeric
@attribute 'help NUMERIC' numeric
@attribute 'her NUMERIC' numeric
@attribute 'holiday NUMERIC' numeric
@attribute 'home2 NUMERIC' numeric
@attribute 'hour NUMERIC' numeric
@attribute 'i2 NUMERIC' numeric
@attribute 'job2 NUMERIC' numeric
@attribute 'it NUMERIC' numeric
@attribute 'just NUMERIC' numeric
@attribute 'know NUMERIC' numeric
@attribute 'late NUMERIC' numeric
@attribute 'like NUMERIC' numeric
@attribute 'lol NUMERIC' numeric
@attribute 'lost NUMERIC' numeric
@attribute 'love NUMERIC' numeric
@attribute 'me NUMERIC' numeric
@attribute 'miss NUMERIC' numeric
@attribute 'money2 NUMERIC' numeric
@attribute 'more NUMERIC' numeric
@attribute 'much NUMERIC' numeric
@attribute 'need NUMERIC' numeric
@attribute 'new NUMERIC' numeric
@attribute 'no NUMERIC' numeric
@attribute 'not NUMERIC' numeric
@attribute 'off NUMERIC' numeric
@attribute 'only NUMERIC' numeric
@attribute 'outside NUMERIC' numeric
@attribute 'over NUMERIC' numeric
@attribute 'people NUMERIC' numeric
@attribute 'please NUMERIC' numeric
@attribute 'really NUMERIC' numeric
@attribute 'she NUMERIC' numeric
@attribute 'shit NUMERIC' numeric
@attribute 'should NUMERIC' numeric
@attribute 'sick NUMERIC' numeric
@attribute 'sleep2 NUMERIC' numeric
@attribute 'some NUMERIC' numeric
@attribute 'something NUMERIC' numeric
@attribute 'sometimes NUMERIC' numeric
@attribute 'sorry NUMERIC' numeric
@attribute 'still NUMERIC' numeric
@attribute 'stop NUMERIC' numeric
@attribute 'stress NUMERIC' numeric
@attribute 'stupid NUMERIC' numeric
@attribute 'suck NUMERIC' numeric
@attribute 'take NUMERIC' numeric
@attribute 'thank NUMERIC' numeric
@attribute 'them NUMERIC' numeric
@attribute 'they2 NUMERIC' numeric
@attribute 'think NUMERIC' numeric
@attribute 'this NUMERIC' numeric
@attribute 'time2 NUMERIC' numeric
@attribute 'tired NUMERIC' numeric
@attribute 'to NUMERIC' numeric
@attribute 'today NUMERIC' numeric
@attribute 'too NUMERIC' numeric
@attribute 'up NUMERIC' numeric
@attribute 'us NUMERIC' numeric
@attribute 'want NUMERIC' numeric
@attribute 'watch NUMERIC' numeric
@attribute 'we2 NUMERIC' numeric
@attribute 'week NUMERIC' numeric
@attribute 'what NUMERIC' numeric
@attribute 'when NUMERIC' numeric
@attribute 'who NUMERIC' numeric
@attribute 'why NUMERIC' numeric
@attribute 'will NUMERIC' numeric
@attribute 'wish NUMERIC' numeric
@attribute 'with NUMERIC' numeric
@attribute 'within NUMERIC' numeric
@attribute 'work2 NUMERIC' numeric
@attribute 'year NUMERIC' numeric
@attribute 'yes NUMERIC' numeric
@attribute 'you2 NUMERIC' numeric
@attribute mood {happy,sad,aggressive,stress}

@data
0,0,0.22,0,0.22,0,0.22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,aggressive
0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0.25,0,0.25,0.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aggressive
0,0,0,0,0,0,0,0,0,0,0,0.88,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.25,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aggressive
0,0,0.17,0.17,0,0,0,0,0,0,0,1,0,0.5,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,0,0,0,0.33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aggressive
0,0,0.1,0.1,0,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0.1,0.2,0,0.2,0.1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stress
0,0,0.25,0.25,0,0,0,0,0,0.25,0,1,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stress
0,0,0,0,0,0,0,0,0,0,0,1,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.14,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stress
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0.29,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,stress
0,0,0,0,0,0,0,0,0,0.1,0,1,0,0.3,0,0,0.2,0.1,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0,0.2,0,0.2,0,0.2,0.1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stress
0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
0,0,0.06,0.06,0,0,0,0,0,0,0,1,0.06,0.24,0,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0,0.12,0.06,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,happy
0,0,0.19,0.19,0,0,0,0,0,0,0,1,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.19,0.12,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,happy
0,0,0.08,0.08,0,0,0,0,0,0,0,1,0,0.08,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.17,0.08,0.5,0,0.5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,happy
0,0,0.3,0.3,0,0,0,0,0,0,0,1,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0.1,0,0.1,0.1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
0,0,0.08,0.08,0,0,0,0,0,0.08,0,0.75,0,0.42,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.17,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sad
0,0,0.03,0.03,0,0,0,0,0,0,0,1,0,0.14,0,0.06,0,0.08,0,0,0.08,0,0,0,0.14,0.11,0.03,0,0,0,0.06,0,0.19,0,0.19,0.03,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sad
0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sad
0,0,0.14,0.07,0.07,0,0,0.07,0,0,0,1,0,0.21,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0.14,0,0.14,0.21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sad
0,0,0.09,0.09,0,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.09,0,0,0.09,0.18,0.18,0,0.18,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sad
0,0,0.1,0,0.1,0,0,0.1,0,0,0,0.8,0,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0.1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,aggressive
0,0,0.67,0.33,0.33,0,0.33,0,0,0.17,0,1,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.5,0,0.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aggressive
0,0,0.09,0.09,0,0,0,0,0.09,0,0.09,1,0.05,0.18,0,0,0,0.05,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0.14,0,0.36,0,0.36,0.05,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,aggressive
0,0,0.12,0,0.12,0,0.12,0,0,0,0,1,0.12,0.25,0,0.12,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0.12,0.12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,aggressive
0,0,0.25,0,0.25,0,0,0,0,0.25,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0.25,0,0,0,0.5,0,0.5,0.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aggressive
0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stress
0,0,0.36,0,0.36,0.18,0.18,0,0,0,0.27,1,0,0.36,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.36,0,0.36,0.09,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stress
0,0,0,0,0,0,0,0,0,0,0,0.88,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0,0.12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stress
0,0,0.03,0,0.03,0,0,0,0,0,0.06,1,0,0.29,0,0.03,0,0.06,0.06,0,0,0.06,0,0,0.06,0.06,0,0,0,0,0,0,0.52,0,0.52,0.1,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,stress
0,0,0.15,0.1,0.05,0.05,0,0,0,0,0,1,0,0.05,0,0,0,0.1,0.05,0,0,0,0,0,0.05,0,0.05,0,0,0,0.1,0,0,0,0,0.1,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,stress
0,0,0.17,0.17,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0.17,0,0,0,0,0.17,0,0.17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
0,0,0.25,0.25,0,0,0,0,0,0.12,0,0.75,0,0.38,0,0,0,0.25,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
0,0,0.11,0.11,0,0,0,0,0,0,0,1,0,0.22,0,0,0,0.11,0,0,0,0,0,0,0.11,0,0,0.11,0,0,0,0,0.44,0,0.44,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
